Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna,C127629
BZ1,MagneticBuzzer_Huaneng_MLT-5020,1,Buzzer,C94598
"C1, C2",0402,2,12p,C1547
"C10, C13, C20, C23, C27, C8",0402,6,1u,C52923
"C11, C22, C24, C25, C26, C28, C3, C4, C5, C6, C7, C9",0402,12,0u1,C307331
C12,0805,1,10u,C440198
C14,0402,1,4u7,C23733
C15,0402,1,10n,C15195
"C16, C17",1206,2,47u,C96123
"C18, C19",0402,2,1p2,C76899
C21,0402,1,10u,C15525
"D1, D10, D11, D12, D2, D3, D4, D6",Diode_DFN1006,8,H5VU10U,C22395519
"D13, D18",0805,2,GREEN,C2297
D16,0603,1,WHITE,C2290
D17,0805,1,YELLOW,C2296
D5,D_SMA,1,D_Schottky,C22452
D7,D_SOD-323,1,100,C2128
D8,D_SOD-123,1,16,C19077429
D9,D_SMA,1,SS34,C8678
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
J4,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02,C99101
"J5, J6",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03,C131339
J7,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Conn_01x04,C157926
J9,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,0402,1,24n,C167472
L2,L_Sunlord_SWRB1207S,1,18u,C73501
L3,0402,1,6n8,C77110
"Q1, Q2",Vishay_PowerPAK_1212-8_Single,2,Q_NMOS,C111309
Q3,SOT-323_SC-70,1,Q_NMOS,C28646265
"R1, R2, R5, R7",0402,4,1k,C11702
"R10, R16",0402,2,1M,C26083
"R11, R19, R21, R23, R27, R28",0402,6,10k,C25744
"R12, R14, R26, R29, R3, R30, R31, R4",0402,8,5k1,C25905
R13,1206,1,120,C17909
R15,0603,1,3M,C23156
R17,0603,1,470k,C23178
R18,0402,1,510,C25123
R20,0402,1,3k3,C25890
R22,0402,1,470,C25117
"R24, R25",0402,2,22,C25092
R50,0402,1,0,C17168
"R6, R9",0402,2,100,C25076
R8,1206,1,10m/1W,C105362
SW2,PinHeader_1x02_P2.54mm_Vertical,1,SW_Push,
"SW3, SW4",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
SW5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,SW_Push,C131337
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,BQ77905,C2866527
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U3,DFN-6-1EP_2x2mm_P0.5mm_ST,1,LDL212PV33R,C2969892
U4,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U5,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3FN8,C3013940
U6,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TMP117AIDRV,C699536
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
