Designator,Mid X,Mid Y,Rotation,Layer
AE1,46.75,47.75,0.0,top
BZ1,38.0,16.0,0.0,top
C1,46.75,39.25,180.0,top
C10,24.67,37.52,90.0,top
C11,38.25,30.0,0.0,top
C12,8.105,28.0,0.0,top
C13,15.0,20.42,270.0,top
C14,19.825,20.4,270.0,top
C15,4.605,20.0,180.0,top
C16,14.655,11.025,270.0,top
C17,14.655,16.025,90.0,top
C18,41.75,45.0,90.0,top
C19,42.25,41.485,0.0,top
C2,46.75,35.25,180.0,top
C20,48.5,12.0,90.0,top
C21,37.67,42.0,270.0,top
C22,38.67,42.0,270.0,top
C23,35.42,31.75,180.0,top
C24,40.17,41.5,180.0,top
C25,33.67,37.0,90.0,top
C26,43.5,34.0,270.0,top
C27,43.67,40.0,0.0,top
C28,43.65,30.6125,0.0,top
C3,17.75,39.5,270.0,top
C4,23.5,38.49,270.0,top
C5,22.0,38.49,270.0,top
C6,20.5,38.49,270.0,top
C7,18.75,38.5,90.0,top
C8,25.17,39.0,0.0,top
C9,17.75,37.5,90.0,top
D1,5.25,28.5,0.0,top
D10,21.476952,8.768174,0.0,top
D11,19.0,9.0,0.0,top
D12,16.5,9.25,90.0,top
D13,20.1775,15.75,180.0,top
D16,16.9625,41.25,0.0,top
D17,34.25,25.5,90.0,top
D18,10.0,2.5,180.0,top
D2,1.75,28.5,180.0,top
D3,31.75,10.25,180.0,top
D4,28.49,10.925,90.0,top
D5,23.5,11.0,0.0,top
D6,33.75,10.25,0.0,top
D7,19.67,26.5,180.0,top
D8,17.17,24.0,180.0,top
D9,3.605,24.0,270.0,top
J1,25.25,45.5,180.0,top
J10,47.67,29.0,0.0,top
J2,6.0,33.0,0.0,top
J3,32.5,4.05,0.0,top
J4,12.75,46.0,180.0,top
J5,29.0,21.55,0.0,top
J6,29.0,16.0,0.0,top
J7,19.5,6.45,180.0,top
J8,6.0,40.0,0.0,top
J9,34.0,46.27,180.0,top
L1,44.17,38.25,0.0,top
L2,6.655,13.0,0.0,top
L3,43.265,47.75,180.0,top
L5,41.75,42.985,270.0,top
L6,40.17,42.5,0.0,top
Q1,14.67,32.5,270.0,top
Q2,14.67,27.775,90.0,top
Q3,37.5875,11.55,0.0,top
R1,22.0,40.49,270.0,top
R10,14.0,35.435,0.0,top
R11,20.99,28.0,180.0,top
R12,16.99,30.0,90.0,top
R13,42.17,22.0,270.0,top
R14,18.5,27.99,180.0,top
R15,21.16,23.0,0.0,top
R16,17.17,26.5,270.0,top
R17,21.16,24.5,0.0,top
R18,34.8425,12.23,0.0,top
R19,12.605,20.51,180.0,top
R2,20.5,40.49,270.0,top
R20,12.105,22.01,90.0,top
R21,48.51,10.0,90.0,top
R22,44.5,34.0,90.0,top
R23,48.5,19.0,90.0,top
R24,33.34,33.51,270.0,top
R25,32.35,33.51,270.0,top
R26,20.25,17.25,180.0,top
R27,41.66,30.6125,180.0,top
R28,42.0,26.6475,180.0,top
R29,17.01,42.5,0.0,top
R3,30.25,10.49,270.0,top
R30,34.25,28.24,270.0,top
R31,9.9375,4.0,180.0,top
R4,39.0,8.5,180.0,top
R5,23.5,40.49,90.0,top
R50,40.26,47.75,180.0,top
R6,16.25,40.0,180.0,top
R7,25.67,40.5,270.0,top
R8,14.0,38.5,270.0,top
R9,16.24,37.0,180.0,top
SW1,27.73,33.0,270.0,top
SW2,41.27,6.0,270.0,top
SW3,46.0,19.0,270.0,top
SW4,46.0,11.0,90.0,top
SW5,28.95,38.5,90.0,top
TH1,28.016975,27.5,270.0,top
U1,21.0,32.5,180.0,top
U2,38.17,25.5,180.0,top
U3,17.575,20.5,90.0,top
U4,8.405,23.3,90.0,top
U5,38.67,36.5,0.0,top
U6,43.25,28.6125,90.0,top
Y1,46.75,37.25,270.0,top
